file,rel_path,porosity,shift,target_peak,offset,status
6-6-20 全部_z1216_y911_x708.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y911_x708.npy,0.024670839309692383,-3,149,28,ok
6-6-20 全部_z1216_y911_x772.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y911_x772.npy,0.02116304636001587,4,149,28,ok
6-6-20 全部_z1216_y911_x836.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y911_x836.npy,0.025296449661254883,4,149,28,ok
6-6-20 全部_z1216_y911_x900.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y911_x900.npy,0.026609182357788086,4,149,28,ok
6-6-20 全部_z1216_y911_x964.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y911_x964.npy,0.01919788122177124,4,149,28,ok
6-6-20 全部_z1216_y975_x1028.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y975_x1028.npy,0.01476907730102539,4,149,28,ok
6-6-20 全部_z1216_y975_x1092.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y975_x1092.npy,0.010757744312286377,2,149,28,ok
6-6-20 全部_z1216_y975_x644.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y975_x644.npy,0.018470168113708496,-6,149,28,ok
6-6-20 全部_z1216_y975_x708.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y975_x708.npy,0.037113726139068604,-6,149,28,ok
6-6-20 全部_z1216_y975_x772.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y975_x772.npy,0.02692192792892456,4,149,28,ok
6-6-20 全部_z1216_y975_x836.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y975_x836.npy,0.029323697090148926,5,149,28,ok
6-6-20 全部_z1216_y975_x900.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y975_x900.npy,0.031372129917144775,4,149,28,ok
6-6-20 全部_z1216_y975_x964.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y975_x964.npy,0.02042531967163086,4,149,28,ok
6-6-20 全部_z1280_y1038_x1029.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1280_y1038_x1029.npy,0.011555492877960205,3,149,28,ok
6-6-20 全部_z1280_y1038_x1093.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1280_y1038_x1093.npy,0.012469172477722168,-6,149,28,ok
6-6-20 全部_z1280_y1038_x709.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1280_y1038_x709.npy,0.032769203186035156,-6,149,28,ok
6-6-20 全部_z1280_y1038_x773.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1280_y1038_x773.npy,0.03528940677642822,-4,149,28,ok
6-6-20 全部_z1280_y1038_x837.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1280_y1038_x837.npy,0.026178300380706787,4,149,28,ok
6-6-20 全部_z1280_y1038_x901.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1280_y1038_x901.npy,0.024954020977020264,3,149,28,ok
6-6-20 全部_z1280_y1038_x965.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1280_y1038_x965.npy,0.015276014804840088,4,149,28,ok
6-6-20 全部_z1280_y1102_x1029.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1280_y1102_x1029.npy,0.010748565196990967,-6,149,28,ok
6-6-20 全部_z1280_y1102_x773.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1280_y1102_x773.npy,0.026720106601715088,-4,149,28,ok
