file,rel_path,porosity,scale_factor,orig_peak,clip_ratio,status
6-6-22_z2944_y521_x307.npy,6-6-22_z2944_y521_x307.npy,0.07642120122909546,0.7787815406523965,44942,0.0,ok
6-6-22_z960_y500_x277.npy,6-6-22_z960_y500_x277.npy,0.07644444704055786,0.7666863814593328,45651,0.0,ok
6-6-21_z768_y444_x697.npy,6-6-21_z768_y444_x697.npy,0.07645082473754883,0.7173748180942425,48789,0.0,ok
6-6-21_z3520_y382_x451.npy,6-6-21_z3520_y382_x451.npy,0.07645809650421143,0.8693276371674822,40261,0.0,ok
6-6-21_z1088_y336_x381.npy,6-6-21_z1088_y336_x381.npy,0.07648855447769165,0.6977810562411532,50159,0.0,ok
6-6-21_z3456_y581_x516.npy,6-6-21_z3456_y581_x516.npy,0.07650971412658691,0.7862341629975739,44516,0.0,ok
6-6-20 全部_z4096_y636_x519.npy,6-6-20 全部_z4096_y636_x519.npy,0.07655209302902222,0.8050048300289802,43478,0.0,ok
6-6-21_z3712_y630_x575.npy,6-6-21_z3712_y630_x575.npy,0.07659786939620972,0.8499065102838688,41181,0.0,ok
6-6-22_z1152_y510_x321.npy,6-6-22_z1152_y510_x321.npy,0.07660704851150513,0.8406186953597848,41636,0.0,ok
6-6-20 全部_z4480_y576_x387.npy,6-6-20 全部_z4480_y576_x387.npy,0.0766458511352539,0.7728999205017225,45284,0.0,ok
6-6-21_z960_y257_x374.npy,6-6-21_z960_y257_x374.npy,0.0766686201095581,0.6762762298566294,51754,0.0,ok
6-6-22_z1344_y384_x240.npy,6-6-22_z1344_y384_x240.npy,0.07669717073440552,0.7924468494577399,44167,0.0,ok
6-6-21_z1024_y400_x502.npy,6-6-21_z1024_y400_x502.npy,0.07671666145324707,0.7511858004421265,46593,0.0,ok
6-6-21_z1216_y600_x512.npy,6-6-21_z1216_y600_x512.npy,0.07674062252044678,0.7429105111224317,47112,0.0,ok
6-6-21_z1024_y272_x502.npy,6-6-21_z1024_y272_x502.npy,0.07676857709884644,0.6952169076751946,50344,0.0,ok
6-6-22_z3712_y382_x318.npy,6-6-22_z3712_y382_x318.npy,0.07683455944061279,0.8402957841160088,41652,0.0,ok
6-6-21_z3584_y700_x450.npy,6-6-21_z3584_y700_x450.npy,0.07689207792282104,0.737540828152987,47455,0.0,ok
6-6-21_z3584_y444_x578.npy,6-6-21_z3584_y444_x578.npy,0.07700920104980469,0.8524526279896731,41058,0.0,ok
