Epoch,Global_Step,Time,LR,VAE_Total_Loss,Rec_Loss(L1),P_Loss(LPIPS),KL_Loss,G_Loss(Adv),D_Weight,D_Loss(Disc),Logits_Real,Logits_Fake
1,970,2026-01-25 10:56:09,4.50e-06,0.442670,0.095674,0.316406,30589.728516,-0.069824,0.0000,0.000000,0.0000,0.0000
1,971,2026-01-25 10:56:12,4.50e-06,0.455851,0.107549,0.316406,31895.964844,-0.090332,0.0000,0.000000,0.0000,0.0000
1,972,2026-01-25 10:56:15,4.50e-06,0.446085,0.092761,0.320312,33011.414062,-0.104492,0.0000,0.000000,0.0000,0.0000
1,973,2026-01-25 10:56:18,4.50e-06,0.431710,0.077868,0.320312,33529.000000,-0.086426,0.0000,0.000000,0.0000,0.0000
1,974,2026-01-25 10:56:21,4.50e-06,0.447658,0.088454,0.326172,33031.648438,-0.090820,0.0000,0.000000,0.0000,0.0000
1,975,2026-01-25 10:56:24,4.50e-06,0.461570,0.091171,0.337891,32508.832031,-0.095215,0.0000,0.000000,0.0000,0.0000
1,976,2026-01-25 10:56:27,4.50e-06,0.444035,0.092534,0.318359,33141.468750,-0.095703,0.0000,0.000000,0.0000,0.0000
1,977,2026-01-25 10:56:30,4.50e-06,0.463133,0.110923,0.320312,31896.722656,-0.091309,0.0000,0.000000,0.0000,0.0000
1,978,2026-01-25 10:56:33,4.50e-06,0.477644,0.128241,0.318359,31044.298828,-0.084961,0.0000,0.000000,0.0000,0.0000
1,979,2026-01-25 10:56:36,4.50e-06,0.445562,0.070673,0.343750,31139.107422,-0.096191,0.0000,0.000000,0.0000,0.0000
1,980,2026-01-25 10:56:39,4.50e-06,0.483278,0.125834,0.324219,33225.296875,-0.099121,0.0000,0.000000,0.0000,0.0000
1,981,2026-01-25 10:56:42,4.50e-06,0.458342,0.117350,0.308594,32398.955078,-0.085449,0.0000,0.000000,0.0000,0.0000
1,982,2026-01-25 10:56:45,4.50e-06,0.422641,0.073281,0.316406,32954.492188,-0.089355,0.0000,0.000000,0.0000,0.0000
1,983,2026-01-25 10:56:49,4.50e-06,0.458262,0.115068,0.312500,30694.742188,-0.079590,0.0000,0.000000,0.0000,0.0000
