Epoch,Step,Total_Loss,Recon_Loss,VQ_Loss,Perplexity,LR
3,368,27.489050,0.024250,27.464800,3.329062,0.00002342
3,369,32.888065,0.027383,32.860683,2.798369,0.00002348
3,370,28.370815,0.018140,28.352676,2.830414,0.00002354
3,371,40.050610,0.039734,40.010876,2.367991,0.00002360
3,372,31.429781,0.032042,31.397739,3.042167,0.00002366
3,373,35.765152,0.029936,35.735214,2.550103,0.00002372
3,374,36.647312,0.029457,36.617855,2.442163,0.00002379
3,375,33.179417,0.028193,33.151222,2.712509,0.00002385
3,376,25.382002,0.021236,25.360765,2.901471,0.00002391
3,377,29.189821,0.018683,29.171139,2.507306,0.00002397
3,378,27.966593,0.032819,27.933773,2.780539,0.00002403
3,379,29.409628,0.020950,29.388678,2.983696,0.00002409
3,380,33.523335,0.029332,33.494003,2.731659,0.00002415
3,381,33.433811,0.021341,33.412472,2.539408,0.00002421
3,382,36.544838,0.026591,36.518246,2.463690,0.00002427
3,383,39.099846,0.043414,39.056431,2.437718,0.00002433
3,384,39.873112,0.043073,39.830040,2.407259,0.00002439
3,385,33.578163,0.022518,33.555645,2.599300,0.00002446
3,386,32.714718,0.030328,32.684391,3.254800,0.00002452
3,387,31.609043,0.026152,31.582891,3.139974,0.00002458
3,388,27.663677,0.017290,27.646387,3.233171,0.00002464
3,389,32.805664,0.027252,32.778412,3.109437,0.00002470
3,390,29.554064,0.027792,29.526272,3.006782,0.00002476
3,391,33.477596,0.029024,33.448570,2.843915,0.00002482
3,392,32.727047,0.024097,32.702950,3.046365,0.00002488
3,393,41.857571,0.037761,41.819809,2.364478,0.00002494
3,394,32.283855,0.019511,32.264343,2.653332,0.00002500
3,395,43.217518,0.029532,43.187984,2.394482,0.00002506
3,396,45.500275,0.034081,45.466194,2.387838,0.00002513
3,397,34.444565,0.022751,34.421814,2.567441,0.00002519
3,398,26.002476,0.018227,25.984249,2.742247,0.00002525
3,399,31.925308,0.030991,31.894318,2.541641,0.00002531
3,400,27.941969,0.024419,27.917549,2.728356,0.00002537
3,401,33.831200,0.031347,33.799854,2.467844,0.00002543
3,402,26.913557,0.022317,26.891241,2.535467,0.00002549
3,403,24.026030,0.016710,24.009319,2.523146,0.00002555
3,404,41.187588,0.033793,41.153793,2.406386,0.00002561
3,405,31.729242,0.022710,31.706533,2.533929,0.00002567
3,406,21.638681,0.014227,21.624454,2.700609,0.00002573
3,407,33.192329,0.027465,33.164864,2.856957,0.00002580
3,408,30.849268,0.023033,30.826235,2.816228,0.00002586
3,409,35.212967,0.027242,35.185726,2.690953,0.00002592
3,410,21.916361,0.013255,21.903105,3.344166,0.00002598
3,411,27.647747,0.017589,27.630157,3.041215,0.00002604
3,412,30.119532,0.022814,30.096718,3.257280,0.00002610
3,413,30.509094,0.021020,30.488075,3.183847,0.00002616
3,414,19.134987,0.017729,19.117258,3.282312,0.00002622
3,415,29.496159,0.029124,29.467033,3.197637,0.00002628
3,416,37.599110,0.031201,37.567909,2.795297,0.00002634
3,417,42.859337,0.028088,42.831249,2.734076,0.00002640
3,418,35.690121,0.025730,35.664391,3.082766,0.00002647
3,419,35.931530,0.028169,35.903362,3.169069,0.00002653
3,420,36.732540,0.023226,36.709312,2.909529,0.00002659
3,421,36.194210,0.026970,36.167240,2.753210,0.00002665
3,422,32.526371,0.020651,32.505718,3.000080,0.00002671
3,423,47.206074,0.046418,47.159657,2.553588,0.00002677
3,424,25.276407,0.014563,25.261845,3.181660,0.00002683
3,425,36.937305,0.026801,36.910503,2.847140,0.00002689
3,426,36.074234,0.029600,36.044632,2.673800,0.00002695
3,427,19.699818,0.016331,19.683487,3.455117,0.00002701
3,428,29.832235,0.027285,29.804951,2.787206,0.00002708
3,429,19.151217,0.014371,19.136847,2.758979,0.00002714
3,430,25.138235,0.020327,25.117908,2.848804,0.00002720
3,431,24.493246,0.021217,24.472029,2.702061,0.00002726
3,432,25.385220,0.022699,25.362520,2.740196,0.00002732
3,433,17.832838,0.016074,17.816765,2.279986,0.00002738
3,434,19.229145,0.015650,19.213495,2.755292,0.00002744
3,435,29.059366,0.028453,29.030912,3.249134,0.00002750
3,436,23.026342,0.018254,23.008089,3.075745,0.00002756
3,437,33.243687,0.030026,33.213661,2.910451,0.00002762
3,438,33.304310,0.027597,33.276714,3.143864,0.00002768
3,439,32.384521,0.024464,32.360058,3.415378,0.00002775
3,440,35.022949,0.033209,34.989742,2.865695,0.00002781
3,441,18.189135,0.020222,18.168913,3.374049,0.00002787
3,442,23.378134,0.021298,23.356836,3.103962,0.00002793
3,443,26.580360,0.024622,26.555738,3.052496,0.00002799
3,444,25.135223,0.021440,25.113783,3.418389,0.00002805
3,445,30.029112,0.017518,30.011593,3.317053,0.00002811
3,446,16.802052,0.018779,16.783274,3.274471,0.00002817
3,447,25.623951,0.022612,25.601339,3.590106,0.00002823
3,448,29.912485,0.028308,29.884176,3.515110,0.00002829
3,449,33.033939,0.027339,33.006599,2.911542,0.00002835
3,450,20.722315,0.021374,20.700941,3.314073,0.00002842
3,451,22.745823,0.018010,22.727814,3.741525,0.00002848
3,452,19.465067,0.013995,19.451073,3.246171,0.00002854
3,453,29.948242,0.021821,29.926422,3.033259,0.00002860
3,454,20.508667,0.016103,20.492563,3.069042,0.00002866
3,455,26.358315,0.018882,26.339434,2.926399,0.00002872
3,456,30.716434,0.028819,30.687616,3.061977,0.00002878
3,457,22.993010,0.022509,22.970501,3.138322,0.00002884
3,458,20.485888,0.024573,20.461315,2.732435,0.00002890
3,459,26.265186,0.022327,26.242859,2.753832,0.00002896
